age	female_flg	grade	is_invite	reg_period	link_num	loginday	login_AP	login_SA	login_SNS	login_Other	applog	app	appreg_period	coinuse_cnt	coinuse	class_1	class_2	al_irasto	al_character	al_action	al_style	al_melody	al_life	al_rpg	al_pachinko	al_illust	al_uranai	al_pazzle	al_sports	al_kawa	al_love	al_ikusei	al_emoji	al_mens	al_table	al_shindan	al_uta	al_simulation	al_quiz	al_adventure	al_zenpan	al_others	c_install	c_preopen	response
15	0	2	0	22	200	3.0	0.0	4.0	1.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	2	1	19	3	7.0	0.0	14.0	1.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	2	0	3	2	3.0	0.0	0.0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	2	0	15	165	4.0	0.0	3.0	4.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	2	0	6	20	7.0	4.0	7.0	4.0	8.0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
25	0	2	0	50	6	7.0	1.0	20.0	1.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	1	2	1	1	1	3.0	0.0	1.0	2.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	2	0	16	1	3.0	1.0	0.0	3.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	2	1	49	17	7.0	3.0	21.0	2.0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
27	0	2	1	19	26	2.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
